feature,domains,sign_consistency,mean_abs_corr
weighted_score_sum,6,1.0,0.6084854843777636
max_score,7,1.0,0.5819051039221831
mean_score,7,1.0,0.5788308264496405
min_score,7,1.0,0.5515929453812709
days_since_last_activity,7,1.0,0.5500832499472669
n_assessments_due,7,1.0,0.5498525202101129
n_submissions,7,1.0,0.5392546462624519
assessment_weight_seen,6,1.0,0.5370359891808947
active_days,7,1.0,0.4823998220870063
submission_completion_rate,7,1.0,0.47826383125774835
n_activities,7,1.0,0.464881993868857
n_vle_events,7,1.0,0.42883782245159907
click_quiz,5,1.0,0.36602919322659366
sum_click,7,1.0,0.3596108052974022
click_homepage,7,1.0,0.32101745870761184
click_subpage,7,1.0,0.32033386142079934
click_oucontent,7,1.0,0.2982272782696756
click_url,6,1.0,0.29240585783392786
click_forumng,7,1.0,0.23682284964809552
click_ouwiki,3,1.0,0.22435165001337987
clicks_per_active_day,7,1.0,0.2191546022622111
click_resource,7,1.0,0.18815957596068264
click_oucollaborate,6,1.0,0.1650372683463305
highest_education_Lower Than A Level,7,1.0,0.1297805791655615
studied_credits,7,1.0,0.12404378381489965
click_page,3,1.0,0.09437192949431249
click_ouelluminate,3,1.0,0.08463356939929528
num_of_prev_attempts,7,1.0,0.07657519024335369
imd_band_10-20,7,1.0,0.06680637354459561
highest_education_HE Qualification,7,1.0,0.06585174973235329
imd_band_90-100%,7,1.0,0.054812051588617856
disability_Y,7,1.0,0.054729415867867615
disability_N,7,1.0,0.054729415867867566
imd_band_20-30%,7,1.0,0.04962645603731379
age_band_0-35,7,1.0,0.0491001495358101
age_band_35-55,7,1.0,0.04407875345905301
code_presentation_2014B,6,1.0,0.03681613319377509
imd_band_70-80%,7,1.0,0.023733202267728633
code_presentation_2013J,6,1.0,0.01906987870502154
region_South West Region,7,1.0,0.01572382702636489
highest_education_A Level or Equivalent,7,0.8571428571428571,0.07911308626122719
imd_band_0-10%,7,0.8571428571428571,0.06909707742034223
highest_education_Post Graduate Qualification,7,0.8571428571428571,0.042253063096485306
region_South Region,7,0.8571428571428571,0.039537984090096956
imd_band_80-90%,7,0.8571428571428571,0.037299173339283606
region_Ireland,7,0.8571428571428571,0.036012906150800474
region_North Western Region,7,0.8571428571428571,0.03547430753563628
imd_band_60-70%,7,0.8571428571428571,0.032094507012512645
region_Wales,7,0.8571428571428571,0.024318801177250268
region_West Midlands Region,7,0.8571428571428571,0.020369434549466884
imd_band_50-60%,7,0.8571428571428571,0.020367534390101496
region_East Anglian Region,7,0.8571428571428571,0.01563153391799846
region_Scotland,7,0.8571428571428571,0.013565615818452432
highest_education_No Formal quals,6,0.8333333333333334,0.03505701126333163
click_glossary,5,0.8,0.07973526524766761
late_rate,7,0.7142857142857143,0.1199216485103919
gender_F,7,0.7142857142857143,0.03345167930660387
gender_M,7,0.7142857142857143,0.033451679306603865
code_presentation_2014J,7,0.7142857142857143,0.02597461429474473
region_South East Region,7,0.7142857142857143,0.022024748701406166
age_band_55_=,7,0.7142857142857143,0.020992693922449745
region_Yorkshire Region,7,0.7142857142857143,0.019574727271386757
region_North Region,7,0.7142857142857143,0.017566005634418857
code_presentation_2013B,3,0.6666666666666666,0.02439068137351202
region_London Region,7,0.5714285714285714,0.03439350226381394
region_East Midlands Region,7,0.5714285714285714,0.022793613043787048
imd_band_40-50%,7,0.5714285714285714,0.02252435373170775
imd_band_30-40%,7,0.5714285714285714,0.018163732388005543
