week,model,F1_default_mean,F1_optimized_mean,F1_default_sd,AUROC_mean,Precision_mean,Recall_mean,opt_threshold_mean,F1_lift_from_threshold_tuning
2,Logistic,0.41507352941176473,0.41507352941176473,0.0,0.6628214341569945,0.30788110171802563,0.6367738296672307,0.5,0.0
2,RandomForest,0.33579048928579724,0.41599672248619224,0.003335630441978409,0.6677968802448927,0.3747141489316663,0.3041925173904869,0.35833333333333334,0.080206233200395
2,Stable-Causal-Temporal,0.03326104968371829,0.42330904015899257,0.0019414334510001986,0.6758925178386801,0.4476190476190476,0.017296484301560444,0.20833333333333334,0.3900479904752743
2,XGBoost,0.4240599926145084,0.42381923681123856,0.0024360265864855997,0.6795361813418103,0.31754963931905955,0.6380898665162625,0.48333333333333334,-0.00024075580326982093
4,Logistic,0.4364118092354277,0.43566117948441535,0.0,0.6928889338261572,0.3283964682426659,0.6503102086858432,0.48333333333333334,-0.0007506297510123661
4,RandomForest,0.3706929634884057,0.4495322384470382,0.0035350515094781346,0.7080695038005608,0.41229532120316553,0.3367174280879865,0.375,0.07883927495863252
4,Stable-Causal-Temporal,0.09107564456821543,0.4517691171479397,0.005800875216816312,0.7133257930720177,0.5105640445199019,0.050009400263207375,0.21666666666666667,0.3606934725797243
4,XGBoost,0.45033328770100006,0.4509326382211564,0.0016632464037184375,0.7131674068931647,0.3356743502252775,0.6839631509682271,0.5083333333333333,0.0005993505201563609
6,Logistic,0.4460129721480351,0.44534842589317297,0.0,0.704835081994592,0.3369847218218507,0.6593344613649182,0.4749999999999999,-0.0006645462548621195
6,RandomForest,0.40361064126033663,0.46567613989712825,0.004220696089934731,0.727186714113817,0.42874213257536686,0.38127467569091933,0.35833333333333334,0.062065498636791616
6,Stable-Causal-Temporal,0.1092033879886531,0.46952101572402855,0.004856067925815387,0.7332344772403941,0.5417767189606569,0.06072570031960895,0.225,0.36031762773537546
6,XGBoost,0.4681806512996587,0.46810684087283844,0.0011141837973673283,0.7319114816017859,0.348851969834572,0.7115999247978944,0.5166666666666667,-7.38104268202533e-05
8,Logistic,0.458997279440342,0.4598870498614746,0.0,0.7200013215802916,0.3501334123925289,0.6661026508742245,0.48333333333333334,0.0008897704211325852
8,RandomForest,0.43323228581209766,0.48349234828573495,0.0038309054601782196,0.7456017058941891,0.44232211428510704,0.42451588644482047,0.35833333333333334,0.05026006247363729
8,Stable-Causal-Temporal,0.1509107009579791,0.488837630211263,0.010601071435475224,0.7500387156386176,0.5688098782396275,0.08704643730024442,0.225,0.3379269292532839
8,XGBoost,0.4837384596415226,0.4846849533341819,0.0015935727666557293,0.7491479610864488,0.36245277882539445,0.7270163564579808,0.5083333333333333,0.000946493692659256
10,Logistic,0.45655546935609,0.45655546935609,0.0,0.7214308220830935,0.34791605084244753,0.6638465877044557,0.5,0.0
10,RandomForest,0.45406088170061026,0.49433033739817955,0.004547143321817861,0.7559305252140535,0.4556065020896556,0.4525286708027825,0.3833333333333333,0.04026945569756929
10,Stable-Causal-Temporal,0.21123958747655705,0.49459536555763545,0.01724685509944963,0.763164953624975,0.5818036195804729,0.12915961646926113,0.2333333333333333,0.28335577808107837
10,XGBoost,0.49088101887614277,0.49292649222629015,0.0019279671126468305,0.7609895210064627,0.3694668637397056,0.7311524722692235,0.5333333333333333,0.0020454733501473754
12,Logistic,0.4609723029246562,0.46118231015511185,0.0,0.7256080419310712,0.35103244837758113,0.6711787930062042,0.5083333333333333,0.0002100072304556666
12,RandomForest,0.45425326263865234,0.4979991451041809,0.0005040958639187908,0.758630653515262,0.45675719508263296,0.45177664974619286,0.4000000000000001,0.043745882465528574
12,Stable-Causal-Temporal,0.22582683620517707,0.4976633376013879,0.010536335285683353,0.7640989204912292,0.5709245010224199,0.1408159428463997,0.24166666666666667,0.27183650139621085
12,XGBoost,0.4936200523890162,0.49504697226300975,0.0021502611468898264,0.7620480089251784,0.3699508289063571,0.7414927617973303,0.525,0.0014269198739935707
