behavior,outcome,negative_effect_stability,positive_effect_stability,significance_frequency,n_boot
sum_click,dropout,1.0,0.0,1.0,50
sum_click,failure,1.0,0.0,1.0,50
n_vle_events,dropout,1.0,0.0,1.0,50
n_vle_events,failure,1.0,0.0,1.0,50
n_activities,dropout,1.0,0.0,1.0,50
n_activities,failure,1.0,0.0,1.0,50
active_days,dropout,1.0,0.0,1.0,50
active_days,failure,1.0,0.0,1.0,50
n_submissions,dropout,1.0,0.0,1.0,50
n_submissions,failure,1.0,0.0,1.0,50
mean_score,dropout,1.0,0.0,1.0,50
mean_score,failure,1.0,0.0,1.0,50
late_rate,dropout,0.0,1.0,1.0,50
late_rate,failure,1.0,0.0,1.0,50
clicks_per_active_day,dropout,1.0,0.0,1.0,50
clicks_per_active_day,failure,0.9,0.1,0.22,50
days_since_last_activity,dropout,1.0,0.0,1.0,50
days_since_last_activity,failure,1.0,0.0,1.0,50
