student_id,predicted_risk,feature,recommended_delta,revised_risk,risk_reduction,effort,feasibility
616407,0.9926,sum_click,0.1,0.9578,0.0348,0.0016,High
616407,0.9926,n_activities,0.1,0.9578,0.0348,0.0068,High
616407,0.9926,n_submissions,0.1,0.9578,0.0348,0.1136,High
409880,0.992,sum_click,0.1,0.9573,0.0348,0.0013,High
409880,0.992,n_activities,0.1,0.9573,0.0348,0.0027,High
409880,0.992,n_submissions,0.1,0.9573,0.0348,0.35,High
625126,0.9914,sum_click,0.1,0.9567,0.0347,0.0009,High
625126,0.9914,n_activities,0.1,0.9567,0.0347,0.0041,High
625126,0.9914,n_submissions,0.1,0.9567,0.0347,0.3,High
263524,0.9904,sum_click,0.1,0.9557,0.0347,0.0025,High
632658,0.9352,sum_click,0.1,0.9022,0.0331,0.0154,High
632658,0.9352,n_activities,0.1,0.9022,0.0331,0.0333,High
632658,0.9352,n_submissions,0.1,0.9022,0.0331,0.15,High
365488,0.8828,sum_click,0.1,0.8513,0.0315,0.0107,High
365488,0.8828,n_activities,0.1,0.8513,0.0315,0.0258,High
365488,0.8828,n_submissions,0.1,0.8513,0.0315,0.2,High
288990,0.8632,sum_click,0.1,0.8323,0.0309,0.0034,High
288990,0.8632,n_activities,0.1,0.8323,0.0309,0.0091,High
288990,0.8632,n_submissions,0.1,0.8323,0.0309,0.15,High
424637,0.8497,sum_click,0.1,0.8192,0.0305,0.0105,High
